aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Puroo R,"When I had heard of Ant-Man for the first time, I couldn't stop laughing. I was imagining Plankton from Spongebob Squarepants in a supervillain costume saying something like ""I am the Ant-Man and I will crush you all!"". So of course you can assume that I didn't know anything about Ant-Man. Rather I was more leaned towards being critical of the movie and the character himself. Later the movie came, I saw he wasn't what I was expecting him to be, and then I was like, ""Okay fine, whatever."". I hadn't watched MCU movies until Infinity War was announced, after which I started bingewatching all the movies. And when it was the turn to watch Ant-Man, I was a bit skeptical. I watched it with a ""Fine, I'll just skim through it like Thor movies."", but it was genuinely so good that I couldn't help but praise it. Ant-Man is a movie, in my opinion, that has taken the Marvel Cinematic Universe into the comedy genre that we know today. It doesn't have those cheap jokes like Age of Ultron, nor the subtle humour like Iron Man movies, but rather it was a complete slapstick comedy that was actually done right. And unlike most superhero comedy movies where the protagonist alone carries the entire sense of humour on his/her own shoulders, in this one it is distributed among all the otehr characters - Scott, Hank, all of Scott's friends, Hope and even Falcon (Ant-Man visits the Avengers HQ in one scene when everyone was out and Falcon happens to catch him). After this movie I learnt about what Ant-Man is about. Apparently both Scott and Hank were Ant-Men in two different eras of the comics. And there are many revelations of Hank being Ant-Man, which is why he has had PTSD about taking the suit again. He is also able to teach Scott how to become Ant-Man on that very basis. Ant-Man's entire training procedure is a bit boring, but occasionally turned interesting because of the exposition. I never thought I'd ever say this, but the exposition scenes of this movie are actually very interesting. The final fight scene of this movie was also very nice. Every time they would show a very intense action scene going on but then cut to real life where it'd be a very small thing. Though I don't understand why were they fighting with the toys, since they are stronger when they are small so the toys shouldn't have affected them much. The scene from the helicopter where Ant-Man would turn small to attack them was also interesting in spite of having a plot hole - why weren't they shooting Ant-Man every time he became bigger? And in the end they manage to make an ant giant, something the movie never tells what happened to it. Speaking of ants, this movie made me see ants very differently. Earlier I just thought them to be miniscule, organised insects who kills bigger and more good looking insects. But now I realised ants actually look pretty cool. We just can't see it because of how small they are, but if we were to tame an ant (for that matter a swarm of them), we could probably use them as a wonderful ally. This movie could be great to tell children how important and interesting ants are. They would probably like them more. Ant-Man is one of the more forgettable movies from the Marvel Cinematic Universe. It serves as a character origin story and is very fun to watch, but now as I write the review 2.5 years later, I have literally no memory of the movie except the scenes I mentioned (and Scott's wife seeing some other man and Ant-Man falling on Stan Lee's car). So I'd definitely give it another watch some day.",8-May-21,5,0.078,0.775,0.147,0.9938,,,,,,
Kate B,Top 5 marvel films Funny and entertaining,7-May-21,5,0,0.283,0.717,0.765,,,,,,
Joe M,stop pretending this is bad.,4-May-21,5,0.626,0.22,0.154,-0.6486,,,,,,
Stefano G,"Meh, mediocrity is the way...",24-Apr-21,0.5,0.464,0.536,0,-0.1531,,,,,,
Lasse L,Very funny and wholesome movie. The cast is likeable as a whole and using the heist genre also helps distinguish the movie from all the other MCU films with similar tropes.,13-Apr-21,0.5,0,0.754,0.246,0.8313,,,,,,
Harry E,"An unnecessary character who hasn't really brought much to the saga. However, Marvel's first attempt at a heist movie is a success. Paul Rudd is funny yet also gains sympathy from the audience. Michael Pena's stories are hilarious though the second one at the end felt annoying. Darren Cross is a generic villain who doesn't really feature enough in the movie to be a main character. Cassie is great and the Final battle scene didn't leave me underwhelmed with some cool scenes with toys flying everywhere and the massive Thomas the Tank Engine. Hope Van Dyne is annoying and so is the uncalled for incorporation of Falcon like this movie needed a big character to keep it afloat. Funny, cool, great CGI. Nothing more.",11-Apr-21,0.5,0.077,0.68,0.243,0.9714,,,,,,
Lucas F,A excellent heist movie that's really funny. It's very light hearted but is still serious at times. It's really fun and has some great acting. Would absolutely recommend it.,31-Mar-21,0.5,0.034,0.522,0.443,0.9597,,,,,,
Albert M,Probably the most underrated MCU movie.,12-Jan-21,3.5,0,1,0,0,,,,,,
Evan G,Ant-Man is one of the most light-hearted fun MCU movies. Paul Rudd is so good and this movie is just a delight. Plus Luis is the best MCU character.,26-Mar-21,0.5,0,0.609,0.391,0.947,,,,,,
Patrick L,A bit of a let down from other mcu movie but necessary to the mcu plot line and a Paul Rudd save the movie by is performance...,21-Mar-21,0.5,0,0.842,0.158,0.6486,,,,,,
Alessandro d,"Filme com narrativa arrastada e pouco imersiva, efeitos não tão bons. O melhor do filme esta nas atuações.",9-Mar-22,1,0,1,0,0,,,,,,
Manuel E,"Another super comedic film, not impressed... the film has its good moments but the excessive use of comedy makes the entire film a big laughing joke, the mcu has became repetitive at this point, failing to deliver good villains and good plots, most of the villains become completely forgettable!",19-Mar-21,0.5,0.24,0.451,0.308,0.3489,,,,,,
David C,What the hell is this shit.,16-Mar-21,0.5,0.672,0.328,0,-0.8481,,,,,,
Jessica E,Of course! Marvel has again perfectly cast a character. Love Paul Rudd! Perfect Ant-man! Great and funny movie!,8-Mar-21,5,0,0.372,0.628,0.9693,,,,,,
Jackson H,I found this actually a really good movie. I liked the humor but it didn't really flow as smooth as some of the other movies in the franchise.,26-Feb-21,5,0,0.795,0.205,0.5688,,,,,,
Leandro S,"a very funny movie and makes time go by very fast, the script may not be very deep and complex, but it entertains well.",24-Feb-21,5,0,0.682,0.318,0.8536,,,,,,
Tim S,"Ant man was a film I didn't really want to watch but thought I had to given its significance for future MCU films to come. I was wrong , it is a really enjoyable and fun journey with some great action moments. Paul Rudd was born to play Ant Man and is brilliant in the role. Don't miss this solo adventure , it really is an enjoyable film.",22-Feb-21,5,0.06,0.555,0.385,0.9852,,,,,,
Michael S,"Really, really, really, really, really bad.",20-Feb-21,5,0.464,0.536,0,-0.6525,,,,,,
FRANCO R,Very fresh although bad guy actor is boring.,19-Feb-21,5,0.444,0.366,0.19,-0.5378,,,,,,
Alex Zong Lo,"Rushed plot and stories, underwhelming villian. Should've been two movies.",5-Mar-22,0.5,0,1,0,0,,,,,,
Jamie S,I find a lot of super hero movies are annoying to watch for me because I'm older than their target audience. The dialogue often comes across as laughable. It takes someone with charm like Paul Rudd in Antman or Chadwick Boseman in Black Panther to elevate the dialogue enough for an old(er) fart like me to enjoy it.,13-Feb-21,5,0.038,0.683,0.279,0.9423,,,,,,
Robbie M,"""Ant Man"" is a highly enjoyable, funny and creative origin story with some unique action and charming performances.",10-Feb-21,5,0,0.499,0.501,0.9197,,,,,,
SAHIL S,Very good film the story of a father you should watch it as a marvel film I really very enjoyed it,6-Feb-21,5,0,0.694,0.306,0.7943,,,,,,
Tudor P,"Ant-Man is one of my favorite movies in the MCU. It's fun, light-hearted, and it has a lot of creative and interesting action scenes thanks to Ant-Man's ability to shrink. It's a refreshing movie. Ant-Man is a fun character with a lot of potential.",5-Feb-21,4,0,0.618,0.382,0.9607,,,,,,
John R,Very good and a surprisingly worthy addition to the MCU.,29-Jan-21,4,0,0.412,0.588,0.8204,,,,,,
Ryan S,"Much better than anticipated, I actually thoroughly enjoyed 'Ant-Man'. The concept is silly, but I felt it made it work very well. It starts off as more Paul Rudd-esque than Marvel-esque, especially with the comedy. I wasn't expecting much from it at that point, not that it was necessarily bad or anything but it wasn't what I'd expect from an MCU film. However, positively, it turns into something that fits in this universe. I enjoyed the action, score and humour. The cast do good things, with Paul Rudd filling the titular role nicely. I also really enjoyed Michael Douglas. Evangeline Lilly and Michael Peña are pluses, too. Corey Stoll, meanwhile, is a little meh I will say - entirely passable, but nothing memorable. This is a pleasant watch, one I'd recommend.",19-Jan-21,4,0.036,0.674,0.29,0.9913,,,,,,
Drew G,"ANT-MAN is without a doubt, one of the most fun films in the Marvel Cinematic Universe!",14-Jan-21,4,0,0.684,0.316,0.718,,,,,,
Diego O,A boring movie that is not worth it.,8-Jan-21,4,0.442,0.558,0,-0.4526,,,,,,
Kian M,Ant-man would have been better movie if edger writh directed this film if Kevin Fiege and Disney didn't interfere with the film,31-Dec-20,4,0,0.879,0.121,0.4404,,,,,,
Logan C,"Peyton Reed does a fantastic job taking a Marvel movie, that at the time seemed a bit weird to make and creating one of the most lovable characters in the MCU. Paul Rudd is perfect for this role and he makes you feel every emotion he feels. Everything from his motivation to see his daughter, to his confused reactions to discovering the suit is endlessly joyful to watch. The comedy in this movie is a hit almost every time thanks to Paul Rudd and his supporting cast. This movie made me feel a little bad about an ant dying too, which is crazy. The only negative is that the villain is kind of weak to me. His motivation makes sense, but it's just a little cliche. That does not take away from the climax of this movie though. One of the most creative and funny ones in the MCU to date. Grade: 91% (A-)",29-Dec-20,4,0.079,0.753,0.168,0.9354,,,,,,
Tiger P,"Ant-Man is an endlessly fun superhero movie, it's got good action, great acting, and incredibly hilarious writing. Peyton Reed does a fantastic job incorporating some truly funny visual comedy with Ant-Man's shrinking capabilities. The CGI, and actions scenes are surprisingly good, especially when you realize how unique Ant-Man's microscopic power set is, and how hard it might be to make such a thing look compelling. His quippy style of humour is supported by an all-round charismatic cast that plays off each other like nothing else, jumping between Paul Rudd, Evangeline Lilly, Michael Douglas, and Michael Peña. While there is certainly no lack of plot holes, bad villainy, or mediocre cinematography (outside of action scenes), Ant-Man is still one of my favourite Marvel films, and I do come back to watch it every once in a while. 6.5/10",28-Dec-20,4,0.077,0.661,0.263,0.9826,,,,,,
